marque,groupe,pseudo_teste,chaine_trouvee,titre_de_la_chaine,certitude,url,abonnes,note
Babybel,Groupe Bel,@babybelfrance,UCxYpoByDeGfc2MYEgHlE1kA,babybelFrance,sur,https://www.youtube.com/channel/UCxYpoByDeGfc2MYEgHlE1kA,10 abonnés,"titre 'babybelFrance', marque distinctive + France"
Boursin,Groupe Bel,@boursinfrance,UCrR_EhN5OkMYuexW5I-BiGA,boursinfrance,sur,https://www.youtube.com/channel/UCrR_EhN5OkMYuexW5I-BiGA,14 abonnés,"titre 'boursinfrance', marque distinctive + France"
Bridel,Lactalis,"@bridel, @bridelfrance, @bridelfr, @bridelofficiel",,,introuvable,,,bridel* ne resout pas
Broceliande,Cooperl,@broceliande,,,introuvable,,,"@broceliande = guide touristique de la foret, homonyme ; rien d'autre"
Candia,Sodiaal,@candiafrance,UCX1jBzWBJP6J-EjAzxWcHqA,Candia,sur,https://www.youtube.com/channel/UCX1jBzWBJP6J-EjAzxWcHqA,"2,49 k abonnés","description : page officielle de Candia, cooperative depuis 1971"
Caprice des Dieux,Savencia,@capricedesdieux,UCI-XIRAIyuw_bBSkhExFyuQ,Caprice des Dieux,sur,https://www.youtube.com/channel/UCI-XIRAIyuw_bBSkhExFyuQ,"3,93 k abonnés","description : chaine officielle, publicites de la saga"
Charal,Bigard,@charalofficiel,UCUvlkVBvHjW7IyXD-t_7mXQ,CHARAL,sur,https://www.youtube.com/channel/UCUvlkVBvHjW7IyXD-t_7mXQ,"5,41 k abonnés",description : marque n.1 de la viande de boeuf en France + charal.fr ; @charal est une personne
Chaumes,Savencia,@chaumes,UCp7oj_c1SfrFPWgF-lgvvLA,Chaumes,a verifier,https://www.youtube.com/channel/UCp7oj_c1SfrFPWgF-lgvvLA,,titre exact 'Chaumes' mais aucune description (mot commun)
Cochonou,Groupe Aoste,@cochonou,UCsKU3dylWnYsBQr4H9lqxWw,Cochonou,a verifier,https://www.youtube.com/channel/UCsKU3dylWnYsBQr4H9lqxWw,11 abonnés,"titre exact 'Cochonou', nom distinctif, mais aucune description, 11 abonnes"
Coeur de Lion,Savencia,@coeurdelionofficiel,UCJhNVTHg0pYa-HEq484dnbg,coeurdelion,a verifier,https://www.youtube.com/channel/UCJhNVTHg0pYa-HEq484dnbg,,handle 'officiel' mais aucune description (homonyme Richard Coeur de Lion possible)
Danette,Danone,@danette,UCXPqE1vnm06TpTIpK_DmpGA,DanetteFrance,sur,https://www.youtube.com/channel/UCXPqE1vnm06TpTIpK_DmpGA,"11,2 k abonnés","titre 'DanetteFrance', description officielle en francais"
Danonino,Danone,@danonino,UCZVuyl35J7S64Xt6n1levRQ,danonino,a verifier,https://www.youtube.com/channel/UCZVuyl35J7S64Xt6n1levRQ,3 abonnés,"titre exact 'danonino' mais aucune description, 3 abonnes"
Elivia,Terrena,@eliviafrance,UCflpPFvlU7x3AkSsAFT9DdA,Elivia France,sur,https://www.youtube.com/channel/UCflpPFvlU7x3AkSsAFT9DdA,,"titre 'Elivia France', nom distinctif + France"
Elle & Vire,Savencia,"@ellevire, @elleetvire, @ellevirefrance",,,introuvable,,,@ellevire est une personne ; elleetvire/ellevirefrance ne resolvent pas
Entremont,Sodiaal,"@entremont, @entremontfrance, @entremontfr, @entremontofficiel",,,introuvable,,,@entremont est une personne ; rien d'autre
Fleury Michon,Fleury Michon,@fleurymichon,UCWLOyXHsZDvkfxk2LLrnBXQ,Fleury Michon,sur,https://www.youtube.com/channel/UCWLOyXHsZDvkfxk2LLrnBXQ,"3,41 k abonnés","description : recettes, reportages, publicites Fleury Michon"
Galbani,Lactalis,@galbani,UCD-qyVWFVEw5EEzsaougqTw,Galbani,sur,https://www.youtube.com/channel/UCD-qyVWFVEw5EEzsaougqTw,"25,6 k abonnés",description officielle ; chaine ITALIENNE (Lactalis Italie)
Gastronome,Terrena,"@gastronome, @gastronomefrance, @gastronomefr, @gastronomeofficiel",,,introuvable,,,gastronome* ne resout pas
Gervais,Danone,"@gervais, @gervaisfrance, @gervaisfr, @gervaisofficiel",,,introuvable,,,gervais* ne resout pas
Grand Fermage,Eurial / Agrial,@grandfermage,UCzQdXLI0FkkYiNfHH-yiQ-A,Grand Fermage,sur,https://www.youtube.com/channel/UCzQdXLI0FkkYiNfHH-yiQ-A,593 abonnés,description : entreprise francaise de beurres et fromages
Herta,Nestle / Casa Tarradellas,@hertafrance,UC2aS4Qm54XeRFmHJxsZTBjQ,Herta,sur,https://www.youtube.com/channel/UC2aS4Qm54XeRFmHJxsZTBjQ,"2,69 k abonnés","description : chaine Youtube Herta France ; @herta est vide (2 abonnes), ecarte"
Justin Bridou,Groupe Aoste,@justinbridouofficiel,UCikUD357Hyl90IBr-PKn5IQ,Justin Bridou,sur,https://www.youtube.com/channel/UCikUD357Hyl90IBr-PKn5IQ,515 abonnés,description : charcuterie depuis 1978
Kiri,Groupe Bel,@kiriofficiel,UCnSKbeD-eTfYRFqPs8I3rzw,Kiri France,sur,https://www.youtube.com/channel/UCnSKbeD-eTfYRFqPs8I3rzw,988 abonnés,"titre 'Kiri France', description marque ; @kiri est un particulier, ecarte"
La Laitiere,Lactalis (licence Nestle),@lalaitiere,UCVkCT7ycY_mNw8SpglBVMng,lalaitiere,a verifier,https://www.youtube.com/channel/UCVkCT7ycY_mNw8SpglBVMng,,titre exact 'lalaitiere' mais aucune description
La Vache qui rit,Groupe Bel,@lavachequiritfrance,UCXAglgUpmkCRYposwZ-mUNA,La Vache qui rit France,sur,https://www.youtube.com/channel/UCXAglgUpmkCRYposwZ-mUNA,"1,03 k abonnés",titre + description officielle en francais
Lactel,Lactalis,@lactelfrance,UCQH9PEImCilHwVtJGN5e8oQ,Lactel France,sur,https://www.youtube.com/channel/UCQH9PEImCilHwVtJGN5e8oQ,"10,1 k abonnés","titre 'Lactel France', description officielle"
Le Gaulois,LDC,@legaulois,UCiTpBkZrwH9_xUpTv1UTuLA,Le Gaulois,sur,https://www.youtube.com/channel/UCiTpBkZrwH9_xUpTv1UTuLA,"57,5 k abonnés","description : marque alimentaire 100% francaise, volailles"
Leerdammer,Groupe Bel,@leerdammer,UCn8IIG3NPt3x9rjoXBbbY2Q,LEERDAMMER®,sur,https://www.youtube.com/channel/UCn8IIG3NPt3x9rjoXBbbY2Q,"1,44 k abonnés",chaine officielle LEERDAMMER(R) mais ALLEMANDE (description en allemand)
Loue,LDC,@pouletdeloue,UCH1zf9q3icJyXHdhxoOhquA,pouletdeloue,a verifier,https://www.youtube.com/channel/UCH1zf9q3icJyXHdhxoOhquA,,titre exact 'pouletdeloue' mais aucune description ; @loue est une personne
Maitre Coq,LDC,@maitrecoq,UCWyo4LqVQxVx2xHOeNly-jA,maitrecoq,a verifier,https://www.youtube.com/channel/UCWyo4LqVQxVx2xHOeNly-jA,10 abonnés,"titre exact 'maitrecoq' mais aucune description, 10 abonnes"
Mamie Nova,Laita,@mamienova,UCI8T5rNRvuPkbuKwJe94q7Q,Mamynova,a verifier,https://www.youtube.com/channel/UCI8T5rNRvuPkbuKwJe94q7Q,,"titre 'Mamynova' (orthographe differente), aucune description"
Marie,LDC,"@marie, @mariefrance, @mariefr",,,introuvable,,,homonymie massive sur le prenom ; @marie/@mariefr sont des personnes
Paysan Breton,Laita,"@paysanbreton, @paysanbretonfrance, @paysanbretonfr, @paysanbretonofficiel, @paysan, @paysanfrance, @paysanfr, @paysanofficiel",,,introuvable,,,@paysanbreton est une personne ; les variantes ne resolvent pas
Pere Dodu,Terrena,"@peredodu, @peredodufrance, @peredodufr, @peredoduofficiel, @pere, @perefrance, @perefr, @pereofficiel",,,introuvable,,,peredodu* ne resout pas ; @pere* sont des personnes
President,Lactalis,@presidentfromage,UCTj7vNxX3FtM00g56W3ODcg,Président Fromage,sur,https://www.youtube.com/channel/UCTj7vNxX3FtM00g56W3ODcg,,"titre 'President Fromage', nom marque + produit sans ambiguite"
President,Lactalis,@presidentofficiel,UCbKfdexFKwus47ERXlhesFQ,PresidentOfficiel,a verifier,https://www.youtube.com/channel/UCbKfdexFKwus47ERXlhesFQ,164 abonnés,"titre 'PresidentOfficiel' mais aucune description, 164 abonnes"
Regilait,Sodiaal,@regilaitfr,UCBFOpiyzEwtuHdZNXv98vIg,Régilait,a verifier,https://www.youtube.com/channel/UCBFOpiyzEwtuHdZNXv98vIg,"3,08 k abonnés","titre exact 'Regilait' (avec accent), 3080 abonnes, mais aucune description"
Sabeval,Van Drie,@sabeval,,,introuvable,,,"@sabeval est un joueur Minecraft, ecarte"
Saint Agur,Savencia,"@saintagur, @saintagurfrance, @saintagurfr, @saintagurofficiel, @saint, @saintfrance, @saintfr, @saintofficiel",,,introuvable,,,saintagur* ne resout pas
Saint Moret,Savencia,"@saintmoret, @saintmoretfrance, @saintmoretfr, @saintmoretofficiel, @saint, @saintfrance, @saintfr, @saintofficiel",,,introuvable,,,saintmoret* ne resout pas ; @saintmoret est une personne
Salakis,Lactalis,"@salakis, @salakisfrance",,,introuvable,,,"@salakis est une chaine d'humour PC ('Salakis CPC'), ecarte ; salakisfrance ne resout pas"
Societe,Lactalis,@societe,UCkIXq3PwF00hU96QaS5KdnQ,societe,a verifier,https://www.youtube.com/channel/UCkIXq3PwF00hU96QaS5KdnQ,10 abonnés,"titre 'societe' : mot generique, aucune description, 10 abonnes"
Socopa,Bigard,@socopafr,UC0o8DlhjgasWaKauHzzM00w,Les Mordus de la Viande,a verifier,https://www.youtube.com/channel/UC0o8DlhjgasWaKauHzzM00w,,"handle socopafr mais titre 'Les Mordus de la Viande' (campagne ?), aucune description"
Soignon,Eurial / Agrial,"@soignon, @soignonfrance, @soignonfr, @soignonofficiel",,,introuvable,,,soignon* ne resout pas
Taillefine,Danone,"@taillefine, @taillefinefrance, @taillefinefr",,,introuvable,,,"@taillefine = 'taille fine', particulier ; variantes ne resolvent pas"
Tartare,Savencia,"@tartare, @tartarefrance, @tartarefr, @tartareofficiel",,,introuvable,,,@tartare est une personne ; tartarefrance ne resout pas
Tendriade,Bigard / Van Drie,"@tendriade, @tendriadefrance, @tendriadefr, @tendriadeofficiel",,,introuvable,,,tendriade* ne resout pas
Tradival,Sicarev,@tradival,UCh7ENxPd1tuTKrq5AEBHUaw,tradival,sur,https://www.youtube.com/channel/UCh7ENxPd1tuTKrq5AEBHUaw,7 abonnés,description : www.tradival.com
Veloute,Danone,"@veloute, @veloutefrance, @veloutefr, @velouteofficiel",,,introuvable,,,@veloute est une personne ; variantes ne resolvent pas
Yoplait,Sodiaal,@yoplait,UCG07q-Hs5mJmSoLS6QEz35Q,yoplait,a verifier,https://www.youtube.com/channel/UCG07q-Hs5mJmSoLS6QEz35Q,"9,38 k abonnés","chaine officielle Yoplait mais AMERICAINE (General Mills), pas la France (Sodiaal) ; yoplaitfrance ne resout pas"
