proposition,identifiant,confiance,voies,occurrences,entites,preuves
Et si on en parlait,,haute,moisson chaines lobbies 01/09,4,CNIEL,https://www.youtube.com/watch?v=3vmnwH0WSMU | https://www.youtube.com/watch?v=pqqRJN8HjWE | https://www.youtube.com/watch?v=MVp2RkzLBpA
Salon International de l'Agriculture,salondelagriculture,haute,moisson chaines lobbies 01/09,4,CNIEL | INTERBEV,https://www.youtube.com/watch?v=cTdMOKrrfbU | https://www.youtube.com/watch?v=MHW9vrIRSDQ | https://www.youtube.com/watch?v=lnq9zMU9SFo
Nos amis pour la vie,,haute,moisson chaines lobbies 01/09,4,CNIEL,https://www.youtube.com/watch?v=T1KVHOmRlRo | https://www.youtube.com/watch?v=sbmsDCyaLHA | https://www.youtube.com/watch?v=8orsSMW8DQQ
Chorégraphie,,basse,moisson chaines lobbies 01/09,4,INTERBEV,https://www.youtube.com/watch?v=RWEBliSifrA | https://www.youtube.com/watch?v=P8B53joaWBk | https://www.youtube.com/watch?v=aeuEQwv65uM
La Sauce de la Paix,,haute,moisson chaines lobbies 01/09,4,INTERBEV,https://www.youtube.com/watch?v=3IA1CjJ304c | https://www.youtube.com/watch?v=3FIZyVItA5M | https://www.youtube.com/watch?v=uKsWyK8iKb0
Génération XYZ,,haute,moisson chaines lobbies 01/09,4,CIFOG,https://www.youtube.com/watch?v=syDJCdj6iAo | https://www.youtube.com/watch?v=Ch_CrRwUL-I | https://www.youtube.com/watch?v=_3NcowSytM4
Brigitte Lecordier,,haute,registre : nom affiche instagram,3,CNIEL,https://www.youtube.com/watch?v=3QvRInOnfqo | https://www.youtube.com/watch?v=MRgD8nhPyvE | https://www.youtube.com/watch?v=xjsrqaP-sHQ
Check,,basse,registre : nom affiche youtube,3,CNIEL,https://www.youtube.com/watch?v=V8jvr6gfhyI | https://www.youtube.com/watch?v=ZYunQ4CjcvA | https://www.youtube.com/watch?v=58nY2sZc-1A
Pascal,,basse,moisson chaines lobbies 01/09 + registre : nom affiche youtube,3,INTERBEV,https://www.youtube.com/watch?v=s4pnQUtFVek | https://www.youtube.com/watch?v=N7HTMjWy5qM
laviandetv,laviandetv,haute,moisson chaines lobbies 01/09 + registre : identifiant indeterminee,3,INTERBEV,https://www.youtube.com/watch?v=7qAvtWTbmEg | https://www.youtube.com/watch?v=6WB3Pwfc9dQ
Brigitte Lecordier,lecordierbrigitte,haute,moisson chaines lobbies 01/09,3,CNIEL,https://www.youtube.com/watch?v=3QvRInOnfqo | https://www.youtube.com/watch?v=MRgD8nhPyvE | https://www.youtube.com/watch?v=xjsrqaP-sHQ
Pub TV,,haute,moisson chaines lobbies 01/09,3,CNIEL,https://www.youtube.com/watch?v=MRgD8nhPyvE | https://www.youtube.com/watch?v=xjsrqaP-sHQ | https://www.youtube.com/watch?v=7iHyZ3JNmrE
Grand Voyage,,haute,moisson chaines lobbies 01/09,3,CNIEL,https://www.youtube.com/watch?v=1KAPmmn9h0I | https://www.youtube.com/watch?v=SpRe9u8w7ek | https://www.youtube.com/watch?v=zFxXu3HDB-Q
Pures sensations,,haute,moisson chaines lobbies 01/09,3,CNIEL,https://www.youtube.com/watch?v=RldwQFwUmmA | https://www.youtube.com/watch?v=k0vTzmIBR6E | https://www.youtube.com/watch?v=9CjlSY2GUl4
Interview,,basse,moisson chaines lobbies 01/09,3,INTERBEV,https://www.youtube.com/watch?v=F1bQRfdiTE0 | https://www.youtube.com/watch?v=efzkKTuQoNE | https://www.youtube.com/watch?v=jESsO_wxfDo
On the road to Foie Gras,,haute,moisson chaines lobbies 01/09,3,CIFOG,https://www.youtube.com/watch?v=bSgfJ_WCi5c | https://www.youtube.com/watch?v=PqIh7VcaKZU | https://www.youtube.com/watch?v=XSMzfLtagvc
Nathalie de Masterchef Nathal,,haute,moisson chaines lobbies 01/09,3,CIFOG,https://www.youtube.com/watch?v=CiOqttUPLzE | https://www.youtube.com/watch?v=jV4mz2AEu5Q | https://www.youtube.com/watch?v=r7xoW5pPVTs
La Brigade,,haute,moisson chaines lobbies 01/09 + registre : nom affiche instagram,2,CNIEL,https://www.youtube.com/watch?v=uwyDo-NNCD8
fromaville,fromaville,haute,moisson chaines lobbies 01/09 + registre : identifiant instagram,2,CNIEL,https://www.youtube.com/watch?v=-iTbQV76CLc
Morgan VS,,haute,registre : nom affiche instagram,2,CNIEL,https://www.youtube.com/watch?v=tHQrx45zyEY | https://www.youtube.com/watch?v=vayWBJrDUvY
Tour de France,,haute,registre : nom affiche youtube,2,INTERBEV,https://www.youtube.com/watch?v=7JSeiwKMWoI | https://www.youtube.com/watch?v=G5CY_0TgnnY
Bertrand,,basse,registre : nom affiche instagram,2,INTERBEV,https://www.youtube.com/watch?v=lYVceejJyxU | https://www.youtube.com/watch?v=oWlRDwZm0V8
Jeffrey Cagnes,jeffreycagnes,haute,moisson chaines lobbies 01/09,2,CNIEL,https://www.youtube.com/watch?v=RhHMHg4YN-c | https://www.youtube.com/watch?v=uwyDo-NNCD8
DANS NOS ASSIETTES,,haute,moisson chaines lobbies 01/09,2,CNIEL,https://www.youtube.com/watch?v=RmM5kz-VVls | https://www.youtube.com/watch?v=pRbQ4khqWSk
Nouvelle pub,,haute,moisson chaines lobbies 01/09,2,CNIEL,https://www.youtube.com/watch?v=GuuUPy8SWlY | https://www.youtube.com/watch?v=CcYMGrxZk8I
Le lait c'est gai,,haute,moisson chaines lobbies 01/09,2,CNIEL,https://www.youtube.com/watch?v=ZcMW5ibuBWY | https://www.youtube.com/watch?v=wPt_HrLS6g8
Tour de France,UCSpycUnuU0IVF7gGIhGojhg,haute,moisson chaines lobbies 01/09,2,INTERBEV,https://www.youtube.com/watch?v=7JSeiwKMWoI | https://www.youtube.com/watch?v=G5CY_0TgnnY
Laura Martinez,lauramartinez_dieteticienne,haute,moisson chaines lobbies 01/09,2,INTERBEV,https://www.youtube.com/watch?v=7JSeiwKMWoI
p h i l i p p e,66phil31,haute,moisson chaines lobbies 01/09,2,CIFOG | INTERBEV,https://www.youtube.com/watch?v=aW1I5LsuYIM | https://www.youtube.com/watch?v=BXkTWaAURIM
MADE in VIANDE 2017,,haute,moisson chaines lobbies 01/09,2,INTERBEV,https://www.youtube.com/watch?v=xRJucuAbl0k | https://www.youtube.com/watch?v=AsOnleidvC4
Bertrand,passioncuisinart,haute,moisson chaines lobbies 01/09,2,INTERBEV,https://www.youtube.com/watch?v=lYVceejJyxU | https://www.youtube.com/watch?v=oWlRDwZm0V8
Traçabilité,,basse,moisson chaines lobbies 01/09,2,INTERBEV,https://www.youtube.com/watch?v=Z-EqC3xmZ_Y | https://www.youtube.com/watch?v=5hyTmOYnrz0
Recette Cuisine Viande,,haute,moisson chaines lobbies 01/09,2,INTERBEV,https://www.youtube.com/watch?v=qk-JsJxNm84 | https://www.youtube.com/watch?v=jzhBpTqk-H4
Recette de Cuisine Viande,,haute,moisson chaines lobbies 01/09,2,INTERBEV,https://www.youtube.com/watch?v=jNPwew1C5mM | https://www.youtube.com/watch?v=9-gpBBFfEtw
Stéphanie Sardain et Vincent,,haute,moisson chaines lobbies 01/09,2,ANVOL,https://www.youtube.com/watch?v=1SBEbAoGpPo | https://www.youtube.com/watch?v=LzOab0FKW5I
Spot radio,,haute,moisson chaines lobbies 01/09,2,ANVOL,https://www.youtube.com/watch?v=OqDdiUhgJg8 | https://www.youtube.com/watch?v=NQeDoGflp4g
Ile de France,iledefrance.quesos,haute,moisson chaines lobbies 01/09,2,ANVOL,https://www.youtube.com/watch?v=lOt8jyhQSU0 | https://www.youtube.com/watch?v=xuQNomZse24
Maison Terrasson,maisonterrasson,haute,moisson chaines lobbies 01/09,2,ANVOL,https://www.youtube.com/watch?v=MpxaoElfkC4 | https://www.youtube.com/watch?v=Ev-pO91gQcM
Gino Catena,gino_catena,haute,moisson chaines lobbies 01/09,2,ANVOL,https://www.youtube.com/watch?v=QCG-QjWKkOI | https://www.youtube.com/watch?v=vc_Ztaol9nU
Pierre Chomet Foie Gras poêlé,,haute,moisson chaines lobbies 01/09,2,CIFOG,https://www.youtube.com/watch?v=sH7ErZXvGi8 | https://www.youtube.com/watch?v=rmKPqAkMWtY
Pierre Chomet Un foie gras cr,,haute,moisson chaines lobbies 01/09,2,CIFOG,https://www.youtube.com/watch?v=9mIT5DvzKXw | https://www.youtube.com/watch?v=CezAfe-Wf3U
Nicolas,,basse,moisson chaines lobbies 01/09,2,CIFOG,https://www.youtube.com/watch?v=Cz0WJ8ikruc | https://www.youtube.com/watch?v=dGSfmMUVsCQ
XYZ Generation,,haute,moisson chaines lobbies 01/09,2,CIFOG,https://www.youtube.com/watch?v=b62QedS2BsE | https://www.youtube.com/watch?v=puqxbyU_EF0
Matthias Marc et Pierre Chome,,haute,moisson chaines lobbies 01/09,2,CIFOG,https://www.youtube.com/watch?v=K9a5HLous7Y | https://www.youtube.com/watch?v=c4jikMdgTPg
Foie Gras in pictures,,haute,moisson chaines lobbies 01/09,2,CIFOG,https://www.youtube.com/watch?v=al8RM1wYIWM | https://www.youtube.com/watch?v=cvtsPQWharQ
Omnivore,sirha_omnivore,haute,moisson chaines lobbies 01/09,2,INTERBEV,https://www.youtube.com/watch?v=KJ1kRPHtxe0 | https://www.youtube.com/watch?v=7fmSFvYXUDo
Jean Sorhouet,,haute,moisson chaines lobbies 01/09,2,INTERBEV,https://www.youtube.com/watch?v=MxEuCig0Vkw | https://www.youtube.com/watch?v=-rA10BWl50Y
Concours,,basse,moisson chaines lobbies 01/09,2,INTERBEV,https://www.youtube.com/watch?v=eQkH4n1HtuQ | https://www.youtube.com/watch?v=5P-PGea_bKo
Mercotte,lacuisinedemercotte,haute,moisson chaines lobbies 01/09,2,INAPORC,https://www.youtube.com/watch?v=KvLfFutRtrI | https://www.youtube.com/watch?v=jgCrF6SV_mA
yassencore,yassencore,haute,registre : pseudo youtube,1,CNIEL,https://www.youtube.com/watch?v=-iTbQV76CLc
Vincent,,basse,registre : nom affiche youtube,1,CNIEL,https://www.youtube.com/watch?v=ws3WGmINlIg
Freddy Gladieux,,haute,registre : nom affiche youtube,1,CNIEL,https://www.youtube.com/watch?v=ws3WGmINlIg
Laura,,basse,registre : nom affiche instagram,1,CNIEL,https://www.youtube.com/watch?v=ws3WGmINlIg
Denitsa,,basse,registre : nom affiche instagram,1,CNIEL,https://www.youtube.com/watch?v=pHV0JXupnTY
Benjamin,,basse,registre : nom affiche instagram,1,CNIEL,https://www.youtube.com/watch?v=RmM5kz-VVls
Morgan,,basse,registre : nom affiche instagram,1,CNIEL,https://www.youtube.com/watch?v=tHQrx45zyEY
David,,basse,registre : nom affiche youtube,1,CNIEL,https://www.youtube.com/watch?v=tHQrx45zyEY
@rouli.ta,rouli.ta,haute,@mention (vitrine),1,CNIEL,https://www.youtube.com/watch?v=ZxgNLZL-Sb8
Julia,,basse,registre : nom affiche instagram,1,CNIEL,https://www.youtube.com/watch?v=ZxgNLZL-Sb8
Emile,,basse,registre : nom affiche instagram,1,CNIEL,https://www.youtube.com/watch?v=7iHyZ3JNmrE
Marty,,basse,registre : nom affiche youtube,1,CNIEL,https://www.youtube.com/watch?v=7iHyZ3JNmrE
Isabelle,,basse,registre : nom affiche instagram,1,CNIEL,https://www.youtube.com/watch?v=7iHyZ3JNmrE
mathilde,,basse,registre : nom affiche youtube,1,CNIEL,https://www.youtube.com/watch?v=7iHyZ3JNmrE
Théo Juice,,haute,registre : nom affiche instagram,1,CNIEL,https://www.youtube.com/watch?v=5jQCw_7o87Q
mistervofficial,mistervofficial,haute,registre : pseudo youtube,1,CNIEL,https://www.youtube.com/watch?v=5jQCw_7o87Q
@imanenrv,imanenrv,haute,@mention (vitrine),1,CNIEL,https://www.youtube.com/watch?v=XB_OQjEs3HM
Salon International de l'Agriculture,,haute,registre : nom affiche instagram,1,CNIEL,https://www.youtube.com/watch?v=cTdMOKrrfbU
romain,romain,haute,registre : identifiant instagram,1,INTERBEV,https://www.youtube.com/watch?v=7JSeiwKMWoI
Laura Martinez,,haute,registre : nom affiche instagram,1,INTERBEV,https://www.youtube.com/watch?v=7JSeiwKMWoI
Fabien Patanchon,,haute,registre : nom affiche instagram,1,INTERBEV,https://www.youtube.com/watch?v=G5CY_0TgnnY
Label Rouge,,haute,registre : nom affiche instagram,1,INTERBEV,https://www.youtube.com/watch?v=DtQL9p6QHaU
Les produits tripiers,,haute,registre : nom affiche instagram,1,INTERBEV,https://www.youtube.com/watch?v=EMVLz6vnWTA
Marine,,basse,registre : nom affiche youtube,1,INTERBEV,https://www.youtube.com/watch?v=7qAvtWTbmEg
Fabrice,,basse,registre : nom affiche instagram,1,INTERBEV,https://www.youtube.com/watch?v=HJjJCRDjVto
paris,paris,haute,registre : pseudo youtube,1,INTERBEV,https://www.youtube.com/watch?v=-o1zHEccZDA
Chef Pâtissier,,haute,moisson chaines lobbies 01/09,1,CNIEL,https://www.youtube.com/watch?v=RhHMHg4YN-c
Philippine Jaillet,,haute,moisson chaines lobbies 01/09,1,CNIEL,https://www.youtube.com/watch?v=SO51d6zi54Y
Guillaume Sanchez,,haute,moisson chaines lobbies 01/09,1,CNIEL,https://www.youtube.com/watch?v=enwrPfzA3Dk
Jorick Dorignac,,haute,moisson chaines lobbies 01/09,1,CNIEL,https://www.youtube.com/watch?v=dMww_iS9m6o
Quentin Mauro,,haute,moisson chaines lobbies 01/09,1,CNIEL,https://www.youtube.com/watch?v=gB3oVb_kl90
The Best🥇 أستغفر الله,cedricdoumbe,haute,moisson chaines lobbies 01/09,1,CNIEL,https://www.youtube.com/watch?v=l-0Sm6Agpkw
Mehdi Maïzi et avec la partic,,haute,moisson chaines lobbies 01/09,1,CNIEL,https://www.youtube.com/watch?v=U9bo9ZX6nH8
Mehdi Maïzi,mehdimouse,haute,moisson chaines lobbies 01/09,1,CNIEL,https://www.youtube.com/watch?v=U9bo9ZX6nH8
LES JONES,,haute,moisson chaines lobbies 01/09,1,CNIEL,https://www.youtube.com/watch?v=ws3WGmINlIg
Jamy,,basse,moisson chaines lobbies 01/09,1,CNIEL,https://www.youtube.com/watch?v=s4WykNjrTrk
Hakim Jemili,,haute,moisson chaines lobbies 01/09,1,CNIEL,https://www.youtube.com/watch?v=zr_H224YIjM
Redouane Bougheraba,redouanebougheraba,haute,moisson chaines lobbies 01/09,1,CNIEL,https://www.youtube.com/watch?v=zr_H224YIjM
Jamy Du lait,,haute,moisson chaines lobbies 01/09,1,CNIEL,https://www.youtube.com/watch?v=6nTPXX72JkQ
Benjamin,bgs_photographie,haute,moisson chaines lobbies 01/09,1,CNIEL,https://www.youtube.com/watch?v=RmM5kz-VVls
Romuald Fassenet,romualdfassenet,haute,moisson chaines lobbies 01/09,1,CNIEL,https://www.youtube.com/watch?v=qU_z2S04XMg
Sido Cuisto,,haute,moisson chaines lobbies 01/09,1,CNIEL,https://www.youtube.com/watch?v=nLXBWwZ1vxI
Fromage Tu penses que tu ne p,,haute,moisson chaines lobbies 01/09,1,CNIEL,https://www.youtube.com/watch?v=ZxgNLZL-Sb8
Mister V diffusé le vendredi,,haute,moisson chaines lobbies 01/09,1,CNIEL,https://www.youtube.com/watch?v=7iHyZ3JNmrE
MISTER V Redécouvrez la pub T,,haute,moisson chaines lobbies 01/09,1,CNIEL,https://www.youtube.com/watch?v=7iHyZ3JNmrE
Mister V Vous nous l'aviez de,,haute,moisson chaines lobbies 01/09,1,CNIEL,https://www.youtube.com/watch?v=9kQ5WB9PYZI
Théo Juice,theojuice_,haute,moisson chaines lobbies 01/09,1,CNIEL,https://www.youtube.com/watch?v=5jQCw_7o87Q
Pâtes Tu penses que tu ne peu,,haute,moisson chaines lobbies 01/09,1,CNIEL,https://www.youtube.com/watch?v=XB_OQjEs3HM
Eric Birlouez,,haute,moisson chaines lobbies 01/09,1,CNIEL,https://www.youtube.com/watch?v=kCXDzcrIzwg
Florent De Maria,,haute,moisson chaines lobbies 01/09,1,CNIEL,https://www.youtube.com/watch?v=buifxgU9OpQ
Pub Fromage,,haute,moisson chaines lobbies 01/09,1,CNIEL,https://www.youtube.com/watch?v=6KkYGz3j1eE
Fromage - Le Monstre,,haute,moisson chaines lobbies 01/09,1,CNIEL,https://www.youtube.com/watch?v=Ag-lLfzGsTE
Régénérez votre corps,,haute,moisson chaines lobbies 01/09,1,CNIEL,https://www.youtube.com/watch?v=EbKHngWrlUo
Fromages de France,,haute,moisson chaines lobbies 01/09,1,CNIEL,https://www.youtube.com/watch?v=lK9csh5l4BU
L'emmental et les pâtes,,haute,moisson chaines lobbies 01/09,1,CNIEL,https://www.youtube.com/watch?v=pg00gk4rR4c
Paf paf paf le loup,,haute,moisson chaines lobbies 01/09,1,CNIEL,https://www.youtube.com/watch?v=47XxR6MNJLY
Loïc ce qui fait,,haute,moisson chaines lobbies 01/09,1,INTERBEV,https://www.youtube.com/watch?v=gsMFwYnfZGo
L’Amour Bœuf - Épisode 07,,haute,moisson chaines lobbies 01/09,1,INTERBEV,https://www.youtube.com/watch?v=gsMFwYnfZGo
Fabien Patanchon,fabien_patanchon,haute,moisson chaines lobbies 01/09,1,INTERBEV,https://www.youtube.com/watch?v=G5CY_0TgnnY
L'Amour Bœuf - Épisode 06,,haute,moisson chaines lobbies 01/09,1,INTERBEV,https://www.youtube.com/watch?v=4mERtLCCbjQ
L'Amour Bœuf - Épisode 05,,haute,moisson chaines lobbies 01/09,1,INTERBEV,https://www.youtube.com/watch?v=d4a_fiwm-v4
L’Amour Bœuf - Épisode 04,,haute,moisson chaines lobbies 01/09,1,INTERBEV,https://www.youtube.com/watch?v=l_ICz6US0Vo
L'Amour Bœuf - Épisode 03,,haute,moisson chaines lobbies 01/09,1,INTERBEV,https://www.youtube.com/watch?v=iD1sUnSXbBs
L'Amour Bœuf - Épisode 02,,haute,moisson chaines lobbies 01/09,1,INTERBEV,https://www.youtube.com/watch?v=JqpvZM1s9Og
L'Amour Bœuf - Épisode 01,,haute,moisson chaines lobbies 01/09,1,INTERBEV,https://www.youtube.com/watch?v=yH2BmqOjv9k
Amour Bœuf,,haute,moisson chaines lobbies 01/09,1,INTERBEV,https://www.youtube.com/watch?v=-2Qd_77Bp1g
Anne . Papilles et Pupilles,papilles,haute,moisson chaines lobbies 01/09,1,INTERBEV,https://www.youtube.com/watch?v=3b8HYJwaZ1U
Jean-Louis PEYRAUD Un monde s,,haute,moisson chaines lobbies 01/09,1,INTERBEV,https://www.youtube.com/watch?v=ut79Hi4sxcM
Philippe SELLIER L’herbe,,haute,moisson chaines lobbies 01/09,1,INTERBEV,https://www.youtube.com/watch?v=aW1I5LsuYIM
Maryvonne LAGARONNE En France,,haute,moisson chaines lobbies 01/09,1,INTERBEV,https://www.youtube.com/watch?v=CEbRBlz3iQ8
Marine VAN SIMMERTIER En Fran,,haute,moisson chaines lobbies 01/09,1,INTERBEV,https://www.youtube.com/watch?v=1xNshGgl3sE
Sébastien VALTEAU L’élevage a,,haute,moisson chaines lobbies 01/09,1,INTERBEV,https://www.youtube.com/watch?v=C1DiLbn3Sik
BiodiversiTerre,biodiversiterre,haute,moisson chaines lobbies 01/09,1,INTERBEV,https://www.youtube.com/watch?v=_-BQdP0JgsA
Viande Bio,,haute,moisson chaines lobbies 01/09,1,INTERBEV,https://www.youtube.com/watch?v=uPsCI-eHRY0
Les aventures de Quentin,,haute,moisson chaines lobbies 01/09,1,INTERBEV,https://www.youtube.com/watch?v=rbJauqlGUds
Alisson Apprentie Boucher,,haute,moisson chaines lobbies 01/09,1,INTERBEV,https://www.youtube.com/watch?v=-zvGIBsH9zY
Comptine 04,,haute,moisson chaines lobbies 01/09,1,INTERBEV,https://www.youtube.com/watch?v=nflj7DrAnEo
Comptine 03,,haute,moisson chaines lobbies 01/09,1,INTERBEV,https://www.youtube.com/watch?v=nbqy7-1mUB8
Comptine 02,,haute,moisson chaines lobbies 01/09,1,INTERBEV,https://www.youtube.com/watch?v=PBUasTN5NDw
Comptine 01,,haute,moisson chaines lobbies 01/09,1,INTERBEV,https://www.youtube.com/watch?v=IXSOH6VyAK0
Claude Petitguyot 01,,haute,moisson chaines lobbies 01/09,1,INTERBEV,https://www.youtube.com/watch?v=Ja8IBYanDvc
Claude Petitguyot 02,,haute,moisson chaines lobbies 01/09,1,INTERBEV,https://www.youtube.com/watch?v=ZWFMFF50pvU
Claude Petitguyot 03,,haute,moisson chaines lobbies 01/09,1,INTERBEV,https://www.youtube.com/watch?v=iG1FxRTKHeE
Claude Petitguyot 04,,haute,moisson chaines lobbies 01/09,1,INTERBEV,https://www.youtube.com/watch?v=ouqA113I27s
Hervé Pillaud A l'occasion de,,haute,moisson chaines lobbies 01/09,1,INTERBEV,https://www.youtube.com/watch?v=DL6y2mBUmdg
Charline Picon - Championne d,,haute,moisson chaines lobbies 01/09,1,INTERBEV,https://www.youtube.com/watch?v=hsqYUE3MWc8
Charline,charlinestengel,haute,moisson chaines lobbies 01/09,1,INTERBEV,https://www.youtube.com/watch?v=hsqYUE3MWc8
Trailer,,basse,moisson chaines lobbies 01/09,1,INTERBEV,https://www.youtube.com/watch?v=0M3j7kIslK0
Changement climatique,,haute,moisson chaines lobbies 01/09,1,INTERBEV,https://www.youtube.com/watch?v=lnq9zMU9SFo
Salma du blog Cuisinons en co,,haute,moisson chaines lobbies 01/09,1,INTERBEV,https://www.youtube.com/watch?v=ThZbHnBdEPA
Tiphaine du blog Gourmandiser,,haute,moisson chaines lobbies 01/09,1,INTERBEV,https://www.youtube.com/watch?v=X0T1PDhE1ew
