regle,type,video_id,chaine,entite,titre,verdict_vincent,commentaire_vincent,signaux,url
R2 signal + indice commercial,faux negatif,czykjPMc2B0,Juste Zoé,CNIEL,JE VOUS PRÉSENTE MON NOUVEAU PAPI ( il est épique ),collaboration remuneree,"la description contient ""Collaboration commerciale avec Danone. 
Depuis plus de 100 ans, @danoneyaourt accompagne les Français dans la transmission de bonnes habitudes au quotidien de génération en génération. Danone Le Nature, Danone Velouté Nature et Danone Skyr Nature sont sources de calcium et sont fabriqués avec du lait 100% Français. En savoir plus sur danone.fr"" >> c'est ça qui aurait dû être enregistré",,https://www.youtube.com/watch?v=czykjPMc2B0
R2 signal + indice commercial,faux negatif,WCG8jN-i8ZQ,FlorianOnAir,INAPORC,DEGUSTATION : Un PLAT EXQUIS par un GRAND CHEF dans un RESTO TENDANCE ! - VLOG #594,collaboration remuneree,,,https://www.youtube.com/watch?v=WCG8jN-i8ZQ
R2 signal + indice commercial,faux negatif,UXC8PGoEULg,FlorianOnAir,INAPORC,"Ce soir, c'est moi qui prépare l'APERO !! -  VLOG #688",collaboration remuneree,,,https://www.youtube.com/watch?v=UXC8PGoEULg
R2 signal + indice commercial,faux negatif,aEtOTdyWtqs,FlorianOnAir,INTERBEV,Ce TAUREAU me fait FLIPPER ! J'aide un éleveur de BOVINS !,collaboration remuneree,"lien vers un site de lobby, très probable collaboration commerciale. Est-ce que ton outil repère aussi les URL?",Made in Viande,https://www.youtube.com/watch?v=aEtOTdyWtqs
R2 signal + indice commercial,faux negatif,HUJAmqKEuwk,FlorianOnAir,INTERBEV,Je vis la vie d'un ELEVEUR d'OVINS !,collaboration remuneree,idem,Made in Viande,https://www.youtube.com/watch?v=HUJAmqKEuwk
R2 signal + indice commercial,faux negatif,iUF2Duowqow,FlorianOnAir,INTERBEV,J'achète des VACHES avec un COMMERÇANT en BESTIAUX!,collaboration remuneree,idem,Made in Viande,https://www.youtube.com/watch?v=iUF2Duowqow
R2 signal + indice commercial,faux negatif,BkFXFu1Bar8,FlorianOnAir,INTERBEV,Il a créé 1000 emplois dans sa région - Je découvre un atelier de découpe!,collaboration remuneree,idem,Made in Viande,https://www.youtube.com/watch?v=BkFXFu1Bar8
R2 signal + indice commercial,faux negatif,-cXraEfY9-I,FlorianOnAir,INTERBEV,On m'embauche dans une BOUCHERIE... et je KIFFE !,collaboration remuneree,idem,Made in Viande,https://www.youtube.com/watch?v=-cXraEfY9-I
R2 signal + indice commercial,faux negatif,aV_m2lmjWjo,FlorianOnAir,INTERBEV,Je fais des PÂTES BOLOGNAISE pour les élèves d'un lycée ! Vont-ils aimer?,collaboration remuneree,idem,Made in Viande,https://www.youtube.com/watch?v=aV_m2lmjWjo
R2 signal + indice commercial,faux negatif,2Xigk6PNknE,FlorianOnAir,ANVOL,"Mars , c'est le mois de la Volaille Française !",collaboration remuneree,"Pas de description, mais la vidéo contient le logo du lobby 'la volaille française', très très probable collaboration commerciale",Le Mois de la Volaille Francaise,https://www.youtube.com/watch?v=2Xigk6PNknE
R2 signal + indice commercial,faux negatif,CHpCoxV8PvA,Check,CNIEL,Mister V et le MQEEBD #CheckFood,collaboration remuneree,"""Partenaire: Les Produits Laitiers""",,https://www.youtube.com/watch?v=CHpCoxV8PvA
R2 signal + indice commercial,faux positif,5CFBRpwEuwU,Marché de Rungis,CNIEL,RUNGIS CHEESE CHALLENGE,hors sujet,pas des influenceurs,Produits Laitiers,https://www.youtube.com/watch?v=5CFBRpwEuwU
R2 signal + indice commercial,faux positif,2ePeGzu8LWM,Marché de Rungis,CNIEL,RUNGIS CHEESE CHALLENGE,hors sujet,pas des influenceurs,Produits Laitiers,https://www.youtube.com/watch?v=2ePeGzu8LWM
R2 signal + indice commercial,faux positif,g3C1O-tHxTE,Marché de Rungis,CNIEL,Retour en images sur la 2ème Grande Chasse à l’Œuf au Marché International de Rungis 🐣🐤🥚,hors sujet,pas des influenceurs,Produits Laitiers,https://www.youtube.com/watch?v=g3C1O-tHxTE
R2 signal + indice commercial,faux negatif,BGMMg41mqKY,Studio Danielle,CNIEL,LE TOUR DE LA GRATTE À MARSEILLE,collaboration remuneree,"""Cette vidéo est en partenariat avec Les Produits Laitiers et leur campagne En Mode Actif cofinancée par l'UE, qui vise à lutter contre la sédentarité.
Merci à eux pour leur confiance !
Avec l'Europe, passez en mode actif ! 
Collaboration commerciale - Enjoyitsfromeurope"" >> déjà repérée sur le site du CNIEL",,https://www.youtube.com/watch?v=BGMMg41mqKY
R2 signal + indice commercial,faux positif,JXptlEqWYkQ,Hervé Cuisine,CNIEL,"La meilleure tarte au citron sans œufs ni lait 🍋 Bien citronnée, moins sucrée et légère",hors sujet,,Produits Laitiers,https://www.youtube.com/watch?v=JXptlEqWYkQ
R2 signal + indice commercial,faux negatif,J98c6pMVdrc,Hervé Cuisine,CNIEL,Le flan pâtissier vanille et caramel facile et inratable,collaboration remuneree,"éJ'ai réalisé cette recette en #collaborationcommerciale avec IL LAIT LÀ, le lait vraiment engagé des fermes à côté de chez vous, riche en oméga 3 et respectueux de l'environnement."" >> Biolait",Produits Laitiers,https://www.youtube.com/watch?v=J98c6pMVdrc
"R3 signal fort, ou faible + indice",faux negatif,cwxOXJeZ5sk,Mister V,CNIEL,MISTER V - LES JONES,collaboration remuneree,"""Thanks to : 
Les Produits Laitiers and Adrien Dinh for following me in my projects."" >> N'est-il pas possible de scraper TOUTE la description? Pourquoi celle-ci n'a pas été enregistrée? Explique-moi comment ton outil fonctionne ou dysfonctionne",,https://www.youtube.com/watch?v=cwxOXJeZ5sk
"R3 signal fort, ou faible + indice",faux negatif,TK2KM-buw7E,Valouzz,INTERBEV,Je mange comme mon perso pendant 15 jours ! (dans quoi je m'embarque),collaboration remuneree,"COLLABORATION COMMERCIALE
 ———
Vous aviez déjà remarqué vous qu’on passait beaucoup plus de temps à cuisiner dans les jeux-vidéo que dans la vraie vie ? Et même souvent plus équilibré…
 
On passe des heures à chercher les meilleurs ingrédients pour concocter des petits plats flexitariens à nos persos, et nous pendant ce temps, on se contente d’un plat vite fait entre deux games.
 
Et si on inversait ça ?
 
Manger flexitarien, c’est choisir des ingrédients de qualité IRL pour se faire plaisir en mangeant varié et dans les bonnes quantités.
C’est manger équilibré, avec une viande locale et durable, comme on le fait déjà in-game.
 
Et en plus c’est meilleur pour soi et pour nos territoires. Un véritable cheat-code.
 
Toi aussi, partage ton challenge avec #MangeCommeTonPerso
 
Découvrez-en plus sur https://naturellement-flexitariens.fr
Aimez la viande. Mangez en mieux. (regarde ce site, c'est une grosse blague)",Aimez la viande,https://www.youtube.com/watch?v=TK2KM-buw7E
"R3 signal fort, ou faible + indice",faux negatif,lrreuz0RLNA,LORIS GIULIANO,CNIEL,LORIS GIULIANO - NAPOLI,collaboration remuneree,"""Remerciements 
Les Produits Laitiers
Maurizio - Lucifer Spritz & Food
Cibi Cotti…"" >> pourquoi ça n'a pas enregistré ce morceau-là?",,https://www.youtube.com/watch?v=lrreuz0RLNA
"R3 signal fort, ou faible + indice",faux negatif,czykjPMc2B0,Juste Zoé,CNIEL,JE VOUS PRÉSENTE MON NOUVEAU PAPI ( il est épique ),collaboration remuneree,"la description contient ""Collaboration commerciale avec Danone. 
Depuis plus de 100 ans, @danoneyaourt accompagne les Français dans la transmission de bonnes habitudes au quotidien de génération en génération. Danone Le Nature, Danone Velouté Nature et Danone Skyr Nature sont sources de calcium et sont fabriqués avec du lait 100% Français. En savoir plus sur danone.fr"" >> c'est ça qui aurait dû être enregistré",,https://www.youtube.com/watch?v=czykjPMc2B0
"R3 signal fort, ou faible + indice",faux negatif,WCG8jN-i8ZQ,FlorianOnAir,INAPORC,DEGUSTATION : Un PLAT EXQUIS par un GRAND CHEF dans un RESTO TENDANCE ! - VLOG #594,collaboration remuneree,,,https://www.youtube.com/watch?v=WCG8jN-i8ZQ
"R3 signal fort, ou faible + indice",faux negatif,UXC8PGoEULg,FlorianOnAir,INAPORC,"Ce soir, c'est moi qui prépare l'APERO !! -  VLOG #688",collaboration remuneree,,,https://www.youtube.com/watch?v=UXC8PGoEULg
"R3 signal fort, ou faible + indice",faux negatif,aEtOTdyWtqs,FlorianOnAir,INTERBEV,Ce TAUREAU me fait FLIPPER ! J'aide un éleveur de BOVINS !,collaboration remuneree,"lien vers un site de lobby, très probable collaboration commerciale. Est-ce que ton outil repère aussi les URL?",Made in Viande,https://www.youtube.com/watch?v=aEtOTdyWtqs
"R3 signal fort, ou faible + indice",faux negatif,HUJAmqKEuwk,FlorianOnAir,INTERBEV,Je vis la vie d'un ELEVEUR d'OVINS !,collaboration remuneree,idem,Made in Viande,https://www.youtube.com/watch?v=HUJAmqKEuwk
"R3 signal fort, ou faible + indice",faux negatif,iUF2Duowqow,FlorianOnAir,INTERBEV,J'achète des VACHES avec un COMMERÇANT en BESTIAUX!,collaboration remuneree,idem,Made in Viande,https://www.youtube.com/watch?v=iUF2Duowqow
"R3 signal fort, ou faible + indice",faux negatif,BkFXFu1Bar8,FlorianOnAir,INTERBEV,Il a créé 1000 emplois dans sa région - Je découvre un atelier de découpe!,collaboration remuneree,idem,Made in Viande,https://www.youtube.com/watch?v=BkFXFu1Bar8
"R3 signal fort, ou faible + indice",faux negatif,-cXraEfY9-I,FlorianOnAir,INTERBEV,On m'embauche dans une BOUCHERIE... et je KIFFE !,collaboration remuneree,idem,Made in Viande,https://www.youtube.com/watch?v=-cXraEfY9-I
"R3 signal fort, ou faible + indice",faux negatif,aV_m2lmjWjo,FlorianOnAir,INTERBEV,Je fais des PÂTES BOLOGNAISE pour les élèves d'un lycée ! Vont-ils aimer?,collaboration remuneree,idem,Made in Viande,https://www.youtube.com/watch?v=aV_m2lmjWjo
"R3 signal fort, ou faible + indice",faux negatif,CHpCoxV8PvA,Check,CNIEL,Mister V et le MQEEBD #CheckFood,collaboration remuneree,"""Partenaire: Les Produits Laitiers""",,https://www.youtube.com/watch?v=CHpCoxV8PvA
"R3 signal fort, ou faible + indice",faux positif,5CFBRpwEuwU,Marché de Rungis,CNIEL,RUNGIS CHEESE CHALLENGE,hors sujet,pas des influenceurs,Produits Laitiers,https://www.youtube.com/watch?v=5CFBRpwEuwU
"R3 signal fort, ou faible + indice",faux positif,2ePeGzu8LWM,Marché de Rungis,CNIEL,RUNGIS CHEESE CHALLENGE,hors sujet,pas des influenceurs,Produits Laitiers,https://www.youtube.com/watch?v=2ePeGzu8LWM
"R3 signal fort, ou faible + indice",faux positif,g3C1O-tHxTE,Marché de Rungis,CNIEL,Retour en images sur la 2ème Grande Chasse à l’Œuf au Marché International de Rungis 🐣🐤🥚,hors sujet,pas des influenceurs,Produits Laitiers,https://www.youtube.com/watch?v=g3C1O-tHxTE
"R3 signal fort, ou faible + indice",faux negatif,BGMMg41mqKY,Studio Danielle,CNIEL,LE TOUR DE LA GRATTE À MARSEILLE,collaboration remuneree,"""Cette vidéo est en partenariat avec Les Produits Laitiers et leur campagne En Mode Actif cofinancée par l'UE, qui vise à lutter contre la sédentarité.
Merci à eux pour leur confiance !
Avec l'Europe, passez en mode actif ! 
Collaboration commerciale - Enjoyitsfromeurope"" >> déjà repérée sur le site du CNIEL",,https://www.youtube.com/watch?v=BGMMg41mqKY
"R3 signal fort, ou faible + indice",faux positif,JXptlEqWYkQ,Hervé Cuisine,CNIEL,"La meilleure tarte au citron sans œufs ni lait 🍋 Bien citronnée, moins sucrée et légère",hors sujet,,Produits Laitiers,https://www.youtube.com/watch?v=JXptlEqWYkQ
"R3 signal fort, ou faible + indice",faux negatif,J98c6pMVdrc,Hervé Cuisine,CNIEL,Le flan pâtissier vanille et caramel facile et inratable,collaboration remuneree,"éJ'ai réalisé cette recette en #collaborationcommerciale avec IL LAIT LÀ, le lait vraiment engagé des fermes à côté de chez vous, riche en oméga 3 et respectueux de l'environnement."" >> Biolait",Produits Laitiers,https://www.youtube.com/watch?v=J98c6pMVdrc
