video_id,chaine,entite_du_canal,publiee,titre,url
Al2y08OAaJ8,Produits Laitiers,CNIEL,2020-05-06,Eh mais y a quoi dans le lait en fait ?,https://www.youtube.com/watch?v=Al2y08OAaJ8
ZYunQ4CjcvA,Produits Laitiers,CNIEL,2020-05-06,Milk Check : C'est vrai que les vaches polluent ?,https://www.youtube.com/watch?v=ZYunQ4CjcvA
MVp2RkzLBpA,Produits Laitiers,CNIEL,2020-05-06,Et si on en parlait : La qualité du lait.,https://www.youtube.com/watch?v=MVp2RkzLBpA
58nY2sZc-1A,Produits Laitiers,CNIEL,2020-05-06,Milk Check : Y'a quoi dans le lait ?,https://www.youtube.com/watch?v=58nY2sZc-1A
m5nsAxcjYZo,Produits Laitiers,CNIEL,2020-05-06,Et si on en parlait : C'est quoi une ferme laitière en France ?,https://www.youtube.com/watch?v=m5nsAxcjYZo
HwFZ6VKLaEQ,Produits Laitiers,CNIEL,2020-04-16,#Fromagissons,https://www.youtube.com/watch?v=HwFZ6VKLaEQ
nLXBWwZ1vxI,Produits Laitiers,CNIEL,2019-08-23,MYRIAM MET DU BEURRE DANS TES EPINARDS – Ep.5 pâtes au saumon amélioré (avec Sido Cuisto),https://www.youtube.com/watch?v=nLXBWwZ1vxI
vayWBJrDUvY,Produits Laitiers,CNIEL,2019-07-26,"L’AOP & Curious : Morgan VS, Youtubeur",https://www.youtube.com/watch?v=vayWBJrDUvY
5VUwyebsRb4,Produits Laitiers,CNIEL,2019-07-26,"L’AOP & Curious : Francis Poineaux, berger au Pays Basque, producteur de fromages en Ossau-iraty",https://www.youtube.com/watch?v=5VUwyebsRb4
i_Z0BfN99H4,Produits Laitiers,CNIEL,2019-07-26,"L’AOP & Curious - Eric Chevalier, fabricant et affineur de fromages en Franche Comté",https://www.youtube.com/watch?v=i_Z0BfN99H4
VlDt3FBercE,Produits Laitiers,CNIEL,2019-05-22,MYRIAM MET DU BEURRE DANS TES EPINARDS – Ep.4 Croque-monsieurs amélioré,https://www.youtube.com/watch?v=VlDt3FBercE
ZxgNLZL-Sb8,Produits Laitiers,CNIEL,2019-03-21,MYRIAM MET DU BEURRE DANS TES EPINARDS – Ep.3 Brochettes Boeuf x Fromage,https://www.youtube.com/watch?v=ZxgNLZL-Sb8
7iHyZ3JNmrE,Produits Laitiers,CNIEL,2019-03-06,PUB TV - LES PRODUITS LAITIERS x MISTER V,https://www.youtube.com/watch?v=7iHyZ3JNmrE
9kQ5WB9PYZI,Produits Laitiers,CNIEL,2019-02-15,Teaser Pub TV Les Produits Laitiers x Mister V,https://www.youtube.com/watch?v=9kQ5WB9PYZI
8bS5KpZY8qU,Produits Laitiers,CNIEL,2019-01-29,MYRIAM MET DU BEURRE DANS TES EPINARDS – Ep.2 pancakes,https://www.youtube.com/watch?v=8bS5KpZY8qU
5jQCw_7o87Q,Produits Laitiers,CNIEL,2018-11-23,Les Produits Laitiers sont nos amis pour la vie - Mister V,https://www.youtube.com/watch?v=5jQCw_7o87Q
XB_OQjEs3HM,Produits Laitiers,CNIEL,2018-11-02,MYRIAM MET DU BEURRE DANS TES EPINARDS – Ep.1 Poulet Crème x Pâtes,https://www.youtube.com/watch?v=XB_OQjEs3HM
i-2Xuze2Pv8,Produits Laitiers,CNIEL,2018-07-18,"50 fromages, beurres et crèmes AOP : la preuve de l'authenticité",https://www.youtube.com/watch?v=i-2Xuze2Pv8
sDYIZeun8W8,Produits Laitiers,CNIEL,2017-10-26,La Qualité du Lait,https://www.youtube.com/watch?v=sDYIZeun8W8
QjG3lbD3zbU,Produits Laitiers,CNIEL,2017-09-28,Diffusion en direct de Produits Laitiers,https://www.youtube.com/watch?v=QjG3lbD3zbU
yuWzFqfKIi4,Produits Laitiers,CNIEL,2017-03-01,L'évolution des fermes laitières en France,https://www.youtube.com/watch?v=yuWzFqfKIi4
4Huq_QEQBGs,Produits Laitiers,CNIEL,2017-03-01,L'alimentation des vaches laitières françaises,https://www.youtube.com/watch?v=4Huq_QEQBGs
3INsZuZr96I,Produits Laitiers,CNIEL,2016-09-07,N’oublions pas ceux qui font le lait,https://www.youtube.com/watch?v=3INsZuZr96I
cTdMOKrrfbU,Produits Laitiers,CNIEL,2016-06-13,"La France, terre de lait - la Filière laitière française en chiffres",https://www.youtube.com/watch?v=cTdMOKrrfbU
7PPYOr8lEi4,Produits Laitiers,CNIEL,2016-02-27,N'oublions pas ceux qui font le lait,https://www.youtube.com/watch?v=7PPYOr8lEi4
BeTxw0l1rBg,Produits Laitiers,CNIEL,2015-11-20,Les Produits Laitiers : n'oublions pas le plaisir,https://www.youtube.com/watch?v=BeTxw0l1rBg
RLIBP8aLuhQ,Produits Laitiers,CNIEL,2015-02-21,Les Produits Laitiers : n'oublions pas le plaisir,https://www.youtube.com/watch?v=RLIBP8aLuhQ
B5ujiOP_9hA,Produits Laitiers,CNIEL,2014-03-06,L'intolérance au lactose,https://www.youtube.com/watch?v=B5ujiOP_9hA
tlWT5T-SkvY,Produits Laitiers,CNIEL,2014-03-06,L'allergie aux protéines de lait,https://www.youtube.com/watch?v=tlWT5T-SkvY
1E5MBqBWGew,Produits Laitiers,CNIEL,2013-10-11,"Le lait, une force de la nature HD (Automne 2013)",https://www.youtube.com/watch?v=1E5MBqBWGew
7S31RUZQgNg,Produits Laitiers,CNIEL,2013-04-26,La filière laitière en France : la diversité des produits laitiers,https://www.youtube.com/watch?v=7S31RUZQgNg
4JqHff5Fs4Q,Produits Laitiers,CNIEL,2013-01-25,Les Produits Laitiers sont nos amis pour la vie - Bouddha Vache  (HD - version longue),https://www.youtube.com/watch?v=4JqHff5Fs4Q
U9ezrPevhl8,Produits Laitiers,CNIEL,2012-10-03,Les produits laitiers sont nos amis pour la vie - publicité 2012,https://www.youtube.com/watch?v=U9ezrPevhl8
GuuUPy8SWlY,Produits Laitiers,CNIEL,2012-01-27,Nouvelle pub - 3 produits laitiers par jour - 20s,https://www.youtube.com/watch?v=GuuUPy8SWlY
CcYMGrxZk8I,Produits Laitiers,CNIEL,2012-01-25,Nouvelle pub - 3 produits laitiers par jour - 30s,https://www.youtube.com/watch?v=CcYMGrxZk8I
Ag-lLfzGsTE,Produits Laitiers,CNIEL,2011-12-28,Fromage - Le Monstre - 30s,https://www.youtube.com/watch?v=Ag-lLfzGsTE
EbKHngWrlUo,Produits Laitiers,CNIEL,2011-06-29,Régénérez votre corps - 2004,https://www.youtube.com/watch?v=EbKHngWrlUo
RldwQFwUmmA,Produits Laitiers,CNIEL,2011-06-29,Pures sensations - version mer - 2003,https://www.youtube.com/watch?v=RldwQFwUmmA
k0vTzmIBR6E,Produits Laitiers,CNIEL,2011-06-29,Pures sensations - version espace - 2003,https://www.youtube.com/watch?v=k0vTzmIBR6E
9CjlSY2GUl4,Produits Laitiers,CNIEL,2011-06-29,Pures sensations - version campagne - 2003,https://www.youtube.com/watch?v=9CjlSY2GUl4
N3Kve1If5Dk,Produits Laitiers,CNIEL,2011-06-29,Des sensations pures - la plongée - 1998,https://www.youtube.com/watch?v=N3Kve1If5Dk
Esnr0kPrM7s,Produits Laitiers,CNIEL,2011-06-29,Des sensations pures - la montagne - 1998,https://www.youtube.com/watch?v=Esnr0kPrM7s
b6OPIkYosrs,Produits Laitiers,CNIEL,2011-06-29,Des sensations pures - le frigo - 1998,https://www.youtube.com/watch?v=b6OPIkYosrs
O73tAm_cYBQ,Produits Laitiers,CNIEL,2011-06-29,"Les produits laitiers, des sensations pures - version ville - 1995",https://www.youtube.com/watch?v=O73tAm_cYBQ
D7AByGhlMNg,Produits Laitiers,CNIEL,2011-06-29,"Les produits laitiers, des sensations pures - version musicien - 1995",https://www.youtube.com/watch?v=D7AByGhlMNg
HWwyhsvF5Ds,Produits Laitiers,CNIEL,2011-05-16,"Les produits laitiers, des sensations pures - version sensualité - 1991",https://www.youtube.com/watch?v=HWwyhsvF5Ds
CfDzQRCjS7Y,Produits Laitiers,CNIEL,2011-05-16,"Les produits laitiers, des sentations pures - version fraîcheur - 1991",https://www.youtube.com/watch?v=CfDzQRCjS7Y
DiNF6AM_zC0,Produits Laitiers,CNIEL,2011-05-16,"Les produits laitiers, des sensations pures - version force - 1991",https://www.youtube.com/watch?v=DiNF6AM_zC0
kRlgpXwp3RM,Produits Laitiers,CNIEL,2011-05-16,"Les produits laitiers, des sensations pures - version douceur - 1991",https://www.youtube.com/watch?v=kRlgpXwp3RM
T1KVHOmRlRo,Produits Laitiers,CNIEL,2011-05-13,Nos amis pour la vie - version 1 - 1981,https://www.youtube.com/watch?v=T1KVHOmRlRo
sbmsDCyaLHA,Produits Laitiers,CNIEL,2011-05-13,Nos amis pour la vie - version 2 - 1981,https://www.youtube.com/watch?v=sbmsDCyaLHA
8orsSMW8DQQ,Produits Laitiers,CNIEL,2011-05-13,Nos amis pour la vie - version 4 - 1981,https://www.youtube.com/watch?v=8orsSMW8DQQ
ukahnLT6n8A,Produits Laitiers,CNIEL,2011-05-13,Nos amis pour la vie - version 3 - 1981,https://www.youtube.com/watch?v=ukahnLT6n8A
TWPbffJS1_I,Produits Laitiers,CNIEL,2011-04-14,Les produits laitiers nos amis pour la vie - bouddha vache - 30 seconde,https://www.youtube.com/watch?v=TWPbffJS1_I
ULjAi6BS8hw,Produits Laitiers,CNIEL,2010-07-12,Les enfants à la garderie de Solidays,https://www.youtube.com/watch?v=ULjAi6BS8hw
aGJTYfAbyDQ,Produits Laitiers,CNIEL,2009-10-09,Paf paf paf le Loup,https://www.youtube.com/watch?v=aGJTYfAbyDQ
7JSeiwKMWoI,Aimez la viande,INTERBEV,2026-07-24,Bien manger pour bien bouger - LIVE Voiron,https://www.youtube.com/watch?v=7JSeiwKMWoI
G5CY_0TgnnY,Aimez la viande,INTERBEV,2026-07-17,Bien manger pour bien bouger - LIVE Bordeaux,https://www.youtube.com/watch?v=G5CY_0TgnnY
d4a_fiwm-v4,Aimez la viande,INTERBEV,2026-06-19,L'Amour Bœuf - Épisode 05 - La qualité pour tous… La grande distribution engagée !,https://www.youtube.com/watch?v=d4a_fiwm-v4
iD1sUnSXbBs,Aimez la viande,INTERBEV,2026-05-07,"L'Amour Bœuf - Épisode 03 - Le bœuf tout beau, tout bio !",https://www.youtube.com/watch?v=iD1sUnSXbBs
fO8OxFAV2uE,Aimez la viande,INTERBEV,2026-03-10,Aimez la viande Mangez-en mieux,https://www.youtube.com/watch?v=fO8OxFAV2uE
aW1I5LsuYIM,Aimez la viande,INTERBEV,2023-09-20,BIEN ÉLEVÉE ! Émission 2 - Autonomie alimentaire avec Philippe SELLIER,https://www.youtube.com/watch?v=aW1I5LsuYIM
H-c1pNtsdcI,Aimez la viande,INTERBEV,2022-12-08,Les Rencontres MADE in VIANDE – les professionnels de l’aval de la filière élevage et viande,https://www.youtube.com/watch?v=H-c1pNtsdcI
Df_hqyS4OIo,Aimez la viande,INTERBEV,2022-12-08,Les Rencontres MADE in VIANDE – les professionnels de l’amont de la filière élevage et viande,https://www.youtube.com/watch?v=Df_hqyS4OIo
tdP184q-KrE,Aimez la viande,INTERBEV,2021-06-03,"MIV 2021 - Dominique, chef en restauration scolaire",https://www.youtube.com/watch?v=tdP184q-KrE
fRINpFrPrIk,Aimez la viande,INTERBEV,2021-06-03,"MIV 2021 - Thomas, boucher",https://www.youtube.com/watch?v=fRINpFrPrIk
W2_R98ZVEVs,Aimez la viande,INTERBEV,2021-06-03,"MIV 2021 - M. Lemière, directeur d'un atelier de découpe",https://www.youtube.com/watch?v=W2_R98ZVEVs
irLE3ROb2so,Aimez la viande,INTERBEV,2021-06-03,"MIV 2021 - Alexandre, commerçant en bestiaux",https://www.youtube.com/watch?v=irLE3ROb2so
yp9Bs8eqF4c,Aimez la viande,INTERBEV,2021-06-03,"MIV 2021 - Laure, éleveuse d'ovins",https://www.youtube.com/watch?v=yp9Bs8eqF4c
UMA9mo09mIc,Aimez la viande,INTERBEV,2021-06-03,"MIV 2021 - Élise et sa famille, éleveurs de bovins",https://www.youtube.com/watch?v=UMA9mo09mIc
DtQL9p6QHaU,Aimez la viande,INTERBEV,2020-10-19,"Marie et Ludo, éleveurs de bœufs Label Rouge en Aubrac",https://www.youtube.com/watch?v=DtQL9p6QHaU
hiXSzQ2aGSQ,Aimez la viande,INTERBEV,2017-09-26,Rencontres #MADEinVIANDE 2017,https://www.youtube.com/watch?v=hiXSzQ2aGSQ
xRJucuAbl0k,Aimez la viande,INTERBEV,2017-04-28,MADE in VIANDE 2017 - Teaser 02,https://www.youtube.com/watch?v=xRJucuAbl0k
AsOnleidvC4,Aimez la viande,INTERBEV,2017-04-28,MADE in VIANDE 2017 - Teaser 01,https://www.youtube.com/watch?v=AsOnleidvC4
_GASJK_e1Uw,Aimez la viande,INTERBEV,2016-09-27,Rencontres #MadeInviande 2016,https://www.youtube.com/watch?v=_GASJK_e1Uw
GfuqDNk3b_0,Aimez la viande,INTERBEV,2016-06-02,Reportage Campagnes TV pour MADE in Vainde (3/3),https://www.youtube.com/watch?v=GfuqDNk3b_0
QAw7NGdyAwg,Aimez la viande,INTERBEV,2016-06-02,Reportage Campagnes TV pour MADE in Vainde (2/3),https://www.youtube.com/watch?v=QAw7NGdyAwg
yqY3fMLQfBo,Aimez la viande,INTERBEV,2016-06-02,Reportage Campagnes TV pour MADE in Vainde (1/3),https://www.youtube.com/watch?v=yqY3fMLQfBo
FHolU2KEBzE,Aimez la viande,INTERBEV,2016-05-20,#MadeInViande 2016 - Transformation,https://www.youtube.com/watch?v=FHolU2KEBzE
LYdrpPNmFZg,Aimez la viande,INTERBEV,2016-05-20,#MadeInViande 2016 - Mise en Marché,https://www.youtube.com/watch?v=LYdrpPNmFZg
Ojgo5ocJDWs,Aimez la viande,INTERBEV,2016-05-20,#MadeInViande 2016 - Elevage,https://www.youtube.com/watch?v=Ojgo5ocJDWs
UPepTykS6jg,Aimez la viande,INTERBEV,2016-05-20,#MadeInViande 2016 - Filière,https://www.youtube.com/watch?v=UPepTykS6jg
r6TsTKzZtEE,Aimez la viande,INTERBEV,2016-05-20,#MadeInViande 2016 - Commercialisation,https://www.youtube.com/watch?v=r6TsTKzZtEE
p8uVwtdYLu8,Aimez la viande,INTERBEV,2016-05-17,Rencontres #MadeInViande 2016,https://www.youtube.com/watch?v=p8uVwtdYLu8
F5Fg0W6b05s,Aimez la viande,INTERBEV,2016-05-12,Made In Viande,https://www.youtube.com/watch?v=F5Fg0W6b05s
Ks-SR2j6XBs,Aimez la viande,INTERBEV,2016-02-29,"Marie -Jo Beauchamp, éleveuse bovins ovins 05 - acheter français apporte de la confiance",https://www.youtube.com/watch?v=Ks-SR2j6XBs
oRXmqjuW4To,Aimez la viande,INTERBEV,2016-02-29,"Marie -Jo Beauchamp, éleveuse bovins ovins 04 - Un devoir de venir au salon de l'agriculture",https://www.youtube.com/watch?v=oRXmqjuW4To
tKUezmkg4AM,Aimez la viande,INTERBEV,2016-02-29,"Marie -Jo Beauchamp, éleveuse bovins ovins 03 - élevage et environnement",https://www.youtube.com/watch?v=tKUezmkg4AM
JjvWSGuZ6A0,Aimez la viande,INTERBEV,2016-02-29,"Marie -Jo Beauchamp, éleveuse bovins ovins 02 - Les agriculteurs: partie essentielle des territoires",https://www.youtube.com/watch?v=JjvWSGuZ6A0
rZQm79K6whk,Aimez la viande,INTERBEV,2016-02-29,"Marie -Jo Beauchamp, éleveuse bovins ovins 01 - Qu'est-ce qu'un bon éleveur?",https://www.youtube.com/watch?v=rZQm79K6whk
DL6y2mBUmdg,Aimez la viande,INTERBEV,2016-01-05,Entretien avec Hervé Pillaud,https://www.youtube.com/watch?v=DL6y2mBUmdg
MHW9vrIRSDQ,Aimez la viande,INTERBEV,2015-02-17,Les éleveurs et le climat,https://www.youtube.com/watch?v=MHW9vrIRSDQ
lnq9zMU9SFo,Aimez la viande,INTERBEV,2015-02-17,Changement climatique : les éleveurs s'adaptent,https://www.youtube.com/watch?v=lnq9zMU9SFo
_0gTezsTDKw,Aimez la viande,INTERBEV,2015-02-03,Made in viande 2014 - Commercialisation,https://www.youtube.com/watch?v=_0gTezsTDKw
-EJGHIr20VA,Aimez la viande,INTERBEV,2015-01-28,Made in viande 2014 - Transformation,https://www.youtube.com/watch?v=-EJGHIr20VA
3zL_l5jbDgc,Aimez la viande,INTERBEV,2015-01-28,Made in viande 2014 - Les Villages,https://www.youtube.com/watch?v=3zL_l5jbDgc
V7ZETAxXO6s,Aimez la viande,INTERBEV,2015-01-28,Made in viande 2014 - Elevage,https://www.youtube.com/watch?v=V7ZETAxXO6s
gYySk1fwXQg,Aimez la viande,INTERBEV,2015-01-28,Made in viande 2014 - Mise en marché,https://www.youtube.com/watch?v=gYySk1fwXQg
EMVLz6vnWTA,Aimez la viande,INTERBEV,2014-11-09,Interview de Yoni Saada - Magic tripes 2014,https://www.youtube.com/watch?v=EMVLz6vnWTA
XMIiqtrc53U,Aimez la viande,INTERBEV,2014-10-31,Rouleaux de bœuf démoniaques,https://www.youtube.com/watch?v=XMIiqtrc53U
a0Tjg2BtyKw,Aimez la viande,INTERBEV,2014-10-31,Soufflé demoniaque de boeuf,https://www.youtube.com/watch?v=a0Tjg2BtyKw
r1mt0gL2M0w,Aimez la viande,INTERBEV,2014-10-31,La hampe de bœuf d'enfer,https://www.youtube.com/watch?v=r1mt0gL2M0w
7CBDqIJbAnE,Aimez la viande,INTERBEV,2014-09-30,Rencontres #MadeInViande - Portraits de professionnels,https://www.youtube.com/watch?v=7CBDqIJbAnE
aVV2jlNo_GI,Aimez la viande,INTERBEV,2014-09-30,Rencontres #MadeInViande - Les acteurs de la filière,https://www.youtube.com/watch?v=aVV2jlNo_GI
imQSyBkNDCI,Aimez la viande,INTERBEV,2014-06-30,Schéma filière,https://www.youtube.com/watch?v=imQSyBkNDCI
0mE06nmWsNU,Aimez la viande,INTERBEV,2014-05-26,"Interview Métiers - Véronique, éleveuse de bovins",https://www.youtube.com/watch?v=0mE06nmWsNU
gT0Da7LF-a4,Aimez la viande,INTERBEV,2014-05-26,"Histoire Métiers - Xavier, éleveur d'équins",https://www.youtube.com/watch?v=gT0Da7LF-a4
lYVceejJyxU,Aimez la viande,INTERBEV,2014-05-26,"Interview Métiers - Bertrand, chef cuisinier en restauration scolaire",https://www.youtube.com/watch?v=lYVceejJyxU
n9lKxQuXpUY,Aimez la viande,INTERBEV,2014-05-26,"Histoire Métiers - Véronique, éleveuse de bovins",https://www.youtube.com/watch?v=n9lKxQuXpUY
pBDS4a11e2Q,Aimez la viande,INTERBEV,2014-05-26,"Histoire Métiers - Frédéric, éleveur de bovins",https://www.youtube.com/watch?v=pBDS4a11e2Q
pBkpVTxfkho,Aimez la viande,INTERBEV,2014-05-26,"Interview Métiers - Lionel, éleveur d'ovins",https://www.youtube.com/watch?v=pBkpVTxfkho
s4pnQUtFVek,Aimez la viande,INTERBEV,2014-05-26,"Histoire Métiers - Pascal, artisan boucher",https://www.youtube.com/watch?v=s4pnQUtFVek
sLXL89JYkAQ,Aimez la viande,INTERBEV,2014-05-26,"Histoire Métiers - Lionel, éleveur d'ovins",https://www.youtube.com/watch?v=sLXL89JYkAQ
AMsWdvjn65c,Aimez la viande,INTERBEV,2014-03-10,Nicolas Dupont-Aignan - Salon de l'agriculture 2014,https://www.youtube.com/watch?v=AMsWdvjn65c
7qAvtWTbmEg,Aimez la viande,INTERBEV,2014-03-10,Interview de Marine Le Pen - Salon de l'agriculture 2014,https://www.youtube.com/watch?v=7qAvtWTbmEg
upR7xu8x1DE,Aimez la viande,INTERBEV,2014-03-10,Hervé Morin - Salon de l'agriculture 2014,https://www.youtube.com/watch?v=upR7xu8x1DE
HJjJCRDjVto,Aimez la viande,INTERBEV,2014-03-05,Croustillants de tête de veau au chutney de mangue - Show culinaire,https://www.youtube.com/watch?v=HJjJCRDjVto
N7HTMjWy5qM,Aimez la viande,INTERBEV,2014-02-24,"Interview Métiers - Pascal, artisan boucher",https://www.youtube.com/watch?v=N7HTMjWy5qM
xl6ZwoW4mok,Aimez la viande,INTERBEV,2014-02-24,"Interview Métiers - Frédéric, éleveur de bovins",https://www.youtube.com/watch?v=xl6ZwoW4mok
oWlRDwZm0V8,Aimez la viande,INTERBEV,2014-02-24,"Histoire Métiers - Bertrand, chef cuisinier en restauration scolaire",https://www.youtube.com/watch?v=oWlRDwZm0V8
84w29186ji8,Aimez la viande,INTERBEV,2014-02-24,"Histoire Métiers - Fabien, boucher chevalin",https://www.youtube.com/watch?v=84w29186ji8
vwj2jcsA85k,Aimez la viande,INTERBEV,2014-02-20,"Histoire Métiers - Florent, technicien d'élevage et Jean-Paul,éleveur de veaux",https://www.youtube.com/watch?v=vwj2jcsA85k
r6SDUIJYydk,Aimez la viande,INTERBEV,2014-02-20,"Interview Métiers - Guillaume, chef boucher en grande surface",https://www.youtube.com/watch?v=r6SDUIJYydk
JKHroomPBBI,Aimez la viande,INTERBEV,2014-02-20,"Interview Métiers - Fabien, boucher chevalin",https://www.youtube.com/watch?v=JKHroomPBBI
PXHlQpBN44I,Aimez la viande,INTERBEV,2014-02-20,"Interview Métiers - Jean-Benoit, commerçant en bestiaux",https://www.youtube.com/watch?v=PXHlQpBN44I
LUp0AUCfDn8,Aimez la viande,INTERBEV,2014-02-20,"Interview Métiers - Jean-Paul, éleveur de veaux",https://www.youtube.com/watch?v=LUp0AUCfDn8
-3jdPD6Xxns,Aimez la viande,INTERBEV,2014-02-20,"Interview Métiers - Olivier, responsable qualité en entreprise de transformation",https://www.youtube.com/watch?v=-3jdPD6Xxns
swrihVdiP2s,Aimez la viande,INTERBEV,2014-02-20,"Interview Métiers - Xavier, éleveur d'équins",https://www.youtube.com/watch?v=swrihVdiP2s
_N9E6Dd1m7U,Aimez la viande,INTERBEV,2013-11-27,La Kitchen Music aux Golden Blog Awards 2013,https://www.youtube.com/watch?v=_N9E6Dd1m7U
-o1zHEccZDA,Aimez la viande,INTERBEV,2013-08-29,Mange-t-on trop de viande en France ?,https://www.youtube.com/watch?v=-o1zHEccZDA
H5rdjcKVWXw,Aimez la viande,INTERBEV,2013-08-01,L'élevage nuit-il à notre planète?,https://www.youtube.com/watch?v=H5rdjcKVWXw
qk-JsJxNm84,Aimez la viande,INTERBEV,2013-07-05,Recette Cuisine Viande - Cœur de veau farci et carottes au cumin,https://www.youtube.com/watch?v=qk-JsJxNm84
