collaboration_id,createur_id,compte_id,commanditaire_id,contenu_url,contenu_titre,publie_le,signaux_observes,extrait,degre,constate_le,note_interne_NE_PAS_PUBLIER
c-000025,florianonair,youtube:UCkGpd4_4UAn53ZXcUf1JyFA,interbev,https://www.youtube.com/watch?v=BkFXFu1Bar8,Il a créé 1000 emplois dans sa région - Je découvre un atelier de découpe!,2021-05-26,Made in Viande ; indices : aucun,"…oupe! ⏎ Cette semaine (jusqu'au 31 mai) ont lieu partout en France les rencontres Made in Viande, les portes ouvertes de la filière élevage et viande, qui permettent d'aller à la rencontre de tous les professionnels et de découvrir les métier…",collaboration remuneree (verdict humain),2026-08,idem
c-000026,florianonair,youtube:UCkGpd4_4UAn53ZXcUf1JyFA,interbev,https://www.youtube.com/watch?v=-cXraEfY9-I,On m'embauche dans une BOUCHERIE... et je KIFFE !,2021-05-27,Made in Viande ; indices : aucun,"…FFE ! ⏎ Cette semaine (jusqu'au 31 mai) ont lieu partout en France les rencontres Made in Viande, les portes ouvertes de la filière élevage et viande, qui permettent d'aller à la rencontre de tous les professionnels et de découvrir les métier…",collaboration remuneree (verdict humain),2026-08,idem
c-000027,florianonair,youtube:UCkGpd4_4UAn53ZXcUf1JyFA,interbev,https://www.youtube.com/watch?v=aV_m2lmjWjo,Je fais des PÂTES BOLOGNAISE pour les élèves d'un lycée ! Vont-ils aimer?,2021-05-28,Made in Viande ; indices : aucun,"…imer? ⏎ Cette semaine (jusqu'au 31 mai) ont lieu partout en France les rencontres Made in Viande, les portes ouvertes de la filière élevage et viande, qui permettent d'aller à la rencontre de tous les professionnels et de découvrir les métier…",collaboration remuneree (verdict humain),2026-08,idem
c-000028,florianonair,youtube:UCkGpd4_4UAn53ZXcUf1JyFA,anvol,https://www.youtube.com/watch?v=2Xigk6PNknE,"Mars , c'est le mois de la Volaille Française !",2025-03-06,Le Mois de la Volaille Francaise ; indices : aucun,"Mars , c'est le mois de la Volaille Française !",collaboration remuneree (verdict humain),2026-08,"Pas de description, mais la vidéo contient le logo du lobby 'la volaille française', très très probable collaboration co"
c-000029,herve-cuisine,youtube:UCgCEqjKOabA2_IvZ-agkQCQ,cniel,https://www.youtube.com/watch?v=J98c6pMVdrc,Le flan pâtissier vanille et caramel facile et inratable,2025-03-31,Produits Laitiers ; indices : aucun,"…s avant d’attaquer cette recette à la maison, n’hésitez pas à vous procurer les produits laitiers engagés avec le logo IL LAIT LÀ disponible partout ⏎  ⏎ Pour réaliser cette recette, il vous faudra :  ⏎ 1 Pâte brisée pur beurre @biobleud_fr…",collaboration remuneree (verdict humain),2026-08,"éJ'ai réalisé cette recette en #collaborationcommerciale avec IL LAIT LÀ, le lait vraiment engagé des fermes à côté de c"
c-000030,inoxtag,youtube:UCL9aTJb0ur4sovxcppAopEw,cniel,https://www.youtube.com/watch?v=GisPhmsJbFM,Qui sont les meilleurs Croûtons ? (Compétition d'activités dans la villa en Corse),2020-08-15,Produits Laitiers ; indices : remerciement,"…et commenter !  
 ⏎ 🎥Chaîne secondaire: https://bit.ly/2TnCBfm
 ⏎  ⏎ Merci aux Produits Laitiers pour nous avoir financer le voyage ! Prenez un pti dej c’est important ! 
 ⏎ 💙T'abonner: https://bit.ly/2Licu2N
 ⏎ 🔔✅Activez la cloche de noti…",collaboration remuneree (verdict humain),2026-08,"Pareil: pas de lien, mais vu qui sont 'les produits laitiers', très très probable collaboration commerciale."
c-000031,inoxtag,youtube:UCL9aTJb0ur4sovxcppAopEw,cniel,https://www.youtube.com/watch?v=qUmIq8vPP4Y,24h à la ferme ! (C’était incroyable),2022-08-13,Produits Laitiers ; indices : partenariat | remerciement,"…sitez pas à lâcher votre meilleur pouce bleu et à vous abonner.  ⏎  ⏎ Merci aux Produits Laitiers d’être le partenaire de cette vidéo et merci à  Stervio, Charlotte et Marc pour leurs accueils. ⏎  ⏎ Chaine de Stervio: https://youtube.com/c/…",collaboration remuneree (verdict humain),2026-08,
c-000032,inoxtag,youtube:UCL9aTJb0ur4sovxcppAopEw,cniel,https://www.youtube.com/watch?v=gP5Ww9PpmKU,On répond à vos question sur KAIZEN ! (Ft. Mathis),2024-09-20,Produits Laitiers ; indices : partenariat | remerciement,"…this) ⏎ Merci à mes partenaires air up, Nike, Deezer, Fitness Park, Erborian, Les Produits Laitiers, Orange, et Therm-ic de m’avoir accompagné et soutenu dans ce projet fou ! ⏎  ⏎ Air-up : https://shop.air-up.com/fr/fr/campaign/inoxtag-everes…",collaboration remuneree (verdict humain),2026-08,
c-000033,inoxtag-2-0,youtube:UCo6Z9cEI8Hf3nyrLUfDITtA,cniel,https://www.youtube.com/watch?v=XgW3Nnskq8Q,Dégustation dans le plus grand buffet d’Europe et je découvre ma nouvelle voiture (ft.GMK),2026-06-27,Produits Laitiers ; indices : remerciement,…lus grand buffet d’Europe et je découvre ma nouvelle voiture (ft.GMK) ⏎ Merci aux Produits Laitiers de nous avoir accompagnés sur ce projet et cette dégustation du plus grand plateau de fromage au monde !  Pour celles et ceux qui voudraient d…,collaboration remuneree (verdict humain),2026-08,
c-000034,juste-zoe,youtube:UCLPSWyuMGlNMM1RK_2EFuIA,cniel,https://www.youtube.com/watch?v=czykjPMc2B0,JE VOUS PRÉSENTE MON NOUVEAU PAPI ( il est épique ),2024-04-20,mention jugee sur piece par un humain (hors detecteur),,collaboration remuneree (verdict humain),2026-08,"la description contient ""Collaboration commerciale avec Danone. 
Depuis plus de 100 ans, @danoneyaourt accompagne les Fr"
c-000035,loris-giuliano,youtube:UCsTK8xMZKkrbTeWc8REbn8Q,cniel,https://www.youtube.com/watch?v=lo5Pii_ZLOk,LORIS - LES FANTASMES - BORDEAUX,2019-08-22,Produits Laitiers ; indices : remerciement,…en commentaire dans quelles villes vous voulez que je vienne :) ⏎  ⏎ Merci aux Produits Laitiers de me permettre de faire ce tour de France ❤️,collaboration remuneree (verdict humain),2026-08,
c-000036,loris-giuliano,youtube:UCsTK8xMZKkrbTeWc8REbn8Q,cniel,https://www.youtube.com/watch?v=FHkBVl5lKVE,LORIS - LES RÉSEAUX SOCIAUX - TOULOUSE,2019-08-26,Produits Laitiers ; indices : remerciement,…en commentaire dans quelles villes vous voulez que je vienne :) ⏎  ⏎ Merci aux Produits Laitiers de me permettre de faire ce tour de France ❤️,collaboration remuneree (verdict humain),2026-08,
c-000037,loris-giuliano,youtube:UCsTK8xMZKkrbTeWc8REbn8Q,cniel,https://www.youtube.com/watch?v=YaYSolZhTCA,LORIS - L'ÉCHANGISME - CAP D'AGDE,2019-08-29,Produits Laitiers ; indices : remerciement,…en commentaire dans quelles villes vous voulez que je vienne :) ⏎  ⏎ Merci aux Produits Laitiers de me permettre de faire ce tour de France ❤️,collaboration remuneree (verdict humain),2026-08,
c-000038,loris-giuliano,youtube:UCsTK8xMZKkrbTeWc8REbn8Q,cniel,https://www.youtube.com/watch?v=tVkS7WYI6Yo,LORIS - HOMOPHOBIE DANS LES STADES - MARSEILLE,2019-09-02,Produits Laitiers ; indices : remerciement,…en commentaire dans quelles villes vous voulez que je vienne :) ⏎  ⏎ Merci aux Produits Laitiers de me permettre de faire ce tour de France ❤️,collaboration remuneree (verdict humain),2026-08,
c-000039,loris-giuliano,youtube:UCsTK8xMZKkrbTeWc8REbn8Q,cniel,https://www.youtube.com/watch?v=u-Cu9TEpsj8,LORIS - L'ÉCOLOGIE - MONTPELLIER,2019-09-06,Produits Laitiers ; indices : remerciement,…en commentaire dans quelles villes vous voulez que je vienne :) ⏎  ⏎ Merci aux Produits Laitiers de me permettre de faire ce tour de France ❤️,collaboration remuneree (verdict humain),2026-08,
c-000040,loris-giuliano,youtube:UCsTK8xMZKkrbTeWc8REbn8Q,cniel,https://www.youtube.com/watch?v=7Yrcydd0OAw,LORIS - LES QUARTIERS NORD - MARSEILLE,2019-09-10,Produits Laitiers ; indices : remerciement,…en commentaire dans quelles villes vous voulez que je vienne :) ⏎  ⏎ Merci aux Produits Laitiers de me permettre de faire ce tour de France ❤️,collaboration remuneree (verdict humain),2026-08,
c-000041,loris-giuliano,youtube:UCsTK8xMZKkrbTeWc8REbn8Q,cniel,https://www.youtube.com/watch?v=scKwDXeNpCw,LORIS - LA CORSE - AJACCIO,2019-09-12,Produits Laitiers ; indices : remerciement,…en commentaire dans quelles villes vous voulez que je vienne :) ⏎  ⏎ Merci aux Produits Laitiers de me permettre de faire ce tour de France ❤️,collaboration remuneree (verdict humain),2026-08,
c-000042,loris-giuliano,youtube:UCsTK8xMZKkrbTeWc8REbn8Q,cniel,https://www.youtube.com/watch?v=pFTXagiX2Rw,LORIS - LA PROSTITUTION - LYON,2019-09-24,Produits Laitiers ; indices : remerciement,…en commentaire dans quelles villes vous voulez que je vienne :) ⏎  ⏎ Merci aux Produits Laitiers de me permettre de faire ce tour de France ❤️,collaboration remuneree (verdict humain),2026-08,
c-000043,loris-giuliano,youtube:UCsTK8xMZKkrbTeWc8REbn8Q,cniel,https://www.youtube.com/watch?v=o5zvY-1O6bc,LORIS - L'ALCOOL - CLERMONT FERRAND,2019-09-27,Produits Laitiers ; indices : remerciement,…en commentaire dans quelles villes vous voulez que je vienne :) ⏎  ⏎ Merci aux Produits Laitiers de me permettre de faire ce tour de France ❤️,collaboration remuneree (verdict humain),2026-08,
c-000044,loris-giuliano,youtube:UCsTK8xMZKkrbTeWc8REbn8Q,cniel,https://www.youtube.com/watch?v=heJqGU0UR44,LORIS - JACQUES CHIRAC - STRASBOURG,2019-09-30,Produits Laitiers ; indices : remerciement,…en commentaire dans quelles villes vous voulez que je vienne :) ⏎  ⏎ Merci aux Produits Laitiers de me permettre de faire ce tour de France ❤️,collaboration remuneree (verdict humain),2026-08,
c-000045,loris-giuliano,youtube:UCsTK8xMZKkrbTeWc8REbn8Q,cniel,https://www.youtube.com/watch?v=YxeACzXxQ7s,LORIS - L'ARRESTATION - DIJON,2019-10-04,Produits Laitiers ; indices : remerciement,…en commentaire dans quelles villes vous voulez que je vienne :) ⏎  ⏎ Merci aux Produits Laitiers de me permettre de faire ce tour de France ❤️,collaboration remuneree (verdict humain),2026-08,
c-000046,loris-giuliano,youtube:UCsTK8xMZKkrbTeWc8REbn8Q,cniel,https://www.youtube.com/watch?v=7budxtYR8eo,LORIS - LES SITES DE RENCONTRES - LILLE,2019-10-10,Produits Laitiers ; indices : remerciement,…en commentaire dans quelles villes vous voulez que je vienne :) ⏎  ⏎ Merci aux Produits Laitiers de me permettre de faire ce tour de France ❤️,collaboration remuneree (verdict humain),2026-08,
c-000047,loris-giuliano,youtube:UCsTK8xMZKkrbTeWc8REbn8Q,cniel,https://www.youtube.com/watch?v=ABbTFvW0vJo,LORIS - LA FRANCE - BRUXELLES,2019-10-16,Produits Laitiers ; indices : remerciement,…en commentaire dans quelles villes vous voulez que je vienne :) ⏎  ⏎ Merci aux Produits Laitiers de me permettre de faire ce tour de France ❤️,collaboration remuneree (verdict humain),2026-08,
c-000048,loris-giuliano,youtube:UCsTK8xMZKkrbTeWc8REbn8Q,cniel,https://www.youtube.com/watch?v=92J7_p8nvDw,LORIS - LES PRODUITS LAITIERS - CAEN,2019-10-23,Produits Laitiers ; indices : remerciement,LORIS - LES PRODUITS LAITIERS - CAEN ⏎ Abonnez-vous à ma chaîne ! ⏎  ⏎ INSTAGRAM : https://www.instagram.com/loris.giuliano/ ⏎ TWITTER : https://twitter.com/Loris_Giuliano ⏎ FACEBOOK : https://www.facebook.com/GiulianoLoris/ ⏎  ⏎ Le Tour de F…,collaboration remuneree (verdict humain),2026-08,
c-000049,loris-giuliano,youtube:UCsTK8xMZKkrbTeWc8REbn8Q,cniel,https://www.youtube.com/watch?v=cejlgIeVzQg,LORIS - INÉGALITÉS HOMMES/FEMMES - ROUEN,2019-10-28,Produits Laitiers ; indices : remerciement,…en commentaire dans quelles villes vous voulez que je vienne :) ⏎  ⏎ Merci aux Produits Laitiers de me permettre de faire ce tour de France ❤️,collaboration remuneree (verdict humain),2026-08,
c-000050,loris-giuliano,youtube:UCsTK8xMZKkrbTeWc8REbn8Q,cniel,https://www.youtube.com/watch?v=s_Gbs-Scp-A,LORIS - LA PMA - RENNES,2019-10-31,Produits Laitiers ; indices : remerciement,…en commentaire dans quelles villes vous voulez que je vienne :) ⏎  ⏎ Merci aux Produits Laitiers de me permettre de faire ce tour de France ❤️,collaboration remuneree (verdict humain),2026-08,
c-000051,loris-giuliano,youtube:UCsTK8xMZKkrbTeWc8REbn8Q,cniel,https://www.youtube.com/watch?v=ViL5tLYF_Xo,LORIS - LA FERME - MAËL CARHAIX,2019-11-04,Produits Laitiers ; indices : remerciement,…en commentaire dans quelles villes vous voulez que je vienne :) ⏎  ⏎ Merci aux Produits Laitiers de me permettre de faire ce tour de France ❤️,collaboration remuneree (verdict humain),2026-08,
c-000052,loris-giuliano,youtube:UCsTK8xMZKkrbTeWc8REbn8Q,cniel,https://www.youtube.com/watch?v=SCm_UNf8xAs,LORIS - MERCI - NANTES ANGERS PARIS,2019-11-14,Produits Laitiers ; indices : remerciement,…w.facebook.com/GiulianoLoris/ ⏎  ⏎ Le Tour de France avec Loris  ⏎  ⏎ Merci aux Produits Laitiers pour ce tour de France ❤️,collaboration remuneree (verdict humain),2026-08,
c-000053,loris-giuliano,youtube:UCsTK8xMZKkrbTeWc8REbn8Q,cniel,https://www.youtube.com/watch?v=s1XA1BHUX_s,LORIS - LES OFF - TOUR DE FRANCE,2019-11-22,Produits Laitiers ; indices : remerciement,…w.facebook.com/GiulianoLoris/ ⏎  ⏎ Le Tour de France avec Loris  ⏎  ⏎ Merci aux Produits Laitiers pour ce tour de France ❤️,collaboration remuneree (verdict humain),2026-08,
c-000054,loris-giuliano,youtube:UCsTK8xMZKkrbTeWc8REbn8Q,cniel,https://www.youtube.com/watch?v=M5iLgoVSykM,LORIS - DOUBLE JOUR DE L'AN - AUCKLAND/RAROTONGA,2020-01-15,Produits Laitiers ; indices : remerciement,…es moi en commentaire dans quels pays vous voulez que j'aille :) ⏎  ⏎ Merci aux Produits Laitiers de me permettre de faire ce tour du Monde ❤️,collaboration remuneree (verdict humain),2026-08,
c-000055,loris-giuliano,youtube:UCsTK8xMZKkrbTeWc8REbn8Q,cniel,https://www.youtube.com/watch?v=JwmmUvS78AM,LORIS - MONTRÉAL - CANADA,2020-01-28,Produits Laitiers ; indices : remerciement,…es moi en commentaire dans quels pays vous voulez que j'aille :) ⏎  ⏎ Merci aux Produits Laitiers de me permettre de faire ce tour du Monde ❤️,collaboration remuneree (verdict humain),2026-08,
c-000056,loris-giuliano,youtube:UCsTK8xMZKkrbTeWc8REbn8Q,cniel,https://www.youtube.com/watch?v=lg0IsC_8EnU,LORIS - GUADELOUPE,2020-02-09,Produits Laitiers ; indices : remerciement,…es moi en commentaire dans quels pays vous voulez que j'aille :) ⏎  ⏎ Merci aux Produits Laitiers de me permettre de faire ce tour du Monde ❤️,collaboration remuneree (verdict humain),2026-08,
c-000057,loris-giuliano,youtube:UCsTK8xMZKkrbTeWc8REbn8Q,cniel,https://www.youtube.com/watch?v=cmq-9E5CdQg,LORIS - LE DRIFT - LOS ANGELES,2020-02-16,Produits Laitiers ; indices : remerciement,…es moi en commentaire dans quels pays vous voulez que j'aille :) ⏎  ⏎ Merci aux Produits Laitiers de me permettre de faire ce tour du Monde ❤️,collaboration remuneree (verdict humain),2026-08,
c-000058,loris-giuliano,youtube:UCsTK8xMZKkrbTeWc8REbn8Q,cniel,https://www.youtube.com/watch?v=YykAzF8MqA4,LORIS - LE CARNAVAL - RIO DE JANEIRO,2020-03-04,Produits Laitiers ; indices : remerciement,…es moi en commentaire dans quels pays vous voulez que j'aille :) ⏎  ⏎ Merci aux Produits Laitiers de me permettre de faire ce tour du Monde ❤️,collaboration remuneree (verdict humain),2026-08,
